VALIDATION PASSED
Source word units: 159210
Chunk count: 100
  chunk_001: 1599
  chunk_002: 1599
  chunk_003: 1597
  chunk_004: 1599
  chunk_005: 1592
  chunk_006: 1587
  chunk_007: 1600
  chunk_008: 1600
  chunk_009: 1589
  chunk_010: 1586
  chunk_011: 1599
  chunk_012: 1597
  chunk_013: 1595
  chunk_014: 1588
  chunk_015: 1599
  chunk_016: 1597
  chunk_017: 1596
  chunk_018: 1591
  chunk_019: 1593
  chunk_020: 1591
  chunk_021: 1596
  chunk_022: 1597
  chunk_023: 1590
  chunk_024: 1588
  chunk_025: 1595
  chunk_026: 1596
  chunk_027: 1600
  chunk_028: 1590
  chunk_029: 1595
  chunk_030: 1599
  chunk_031: 1596
  chunk_032: 1592
  chunk_033: 1596
  chunk_034: 1596
  chunk_035: 1588
  chunk_036: 1597
  chunk_037: 1591
  chunk_038: 1594
  chunk_039: 1600
  chunk_040: 1595
  chunk_041: 1600
  chunk_042: 1598
  chunk_043: 1596
  chunk_044: 1595
  chunk_045: 1590
  chunk_046: 1585
  chunk_047: 1594
  chunk_048: 1589
  chunk_049: 1588
  chunk_050: 1588
  chunk_051: 1596
  chunk_052: 1597
  chunk_053: 1597
  chunk_054: 1590
  chunk_055: 1592
  chunk_056: 1589
  chunk_057: 1594
  chunk_058: 1597
  chunk_059: 1599
  chunk_060: 1596
  chunk_061: 1596
  chunk_062: 1599
  chunk_063: 1591
  chunk_064: 1594
  chunk_065: 1600
  chunk_066: 1594
  chunk_067: 1590
  chunk_068: 1591
  chunk_069: 1587
  chunk_070: 1590
  chunk_071: 1595
  chunk_072: 1593
  chunk_073: 1600
  chunk_074: 1598
  chunk_075: 1598
  chunk_076: 1596
  chunk_077: 1600
  chunk_078: 1600
  chunk_079: 1595
  chunk_080: 1589
  chunk_081: 1599
  chunk_082: 1589
  chunk_083: 1588
  chunk_084: 1596
  chunk_085: 1598
  chunk_086: 1587
  chunk_087: 1591
  chunk_088: 1597
  chunk_089: 1596
  chunk_090: 1590
  chunk_091: 1600
  chunk_092: 1596
  chunk_093: 1597
  chunk_094: 1587
  chunk_095: 1598
  chunk_096: 1596
  chunk_097: 1598
  chunk_098: 1600
  chunk_099: 1598
  chunk_100: 1358
